,postId,PayRangeMin,PayRangeMax,companyDetail.groupSize,companyDetail.industry,suburb,city,region,state,distance_km,descriptions_similarity_to_resume,descriptions_similarity_to_resume_norm,job_title_similarity_to_last_job,job_industry_similarity_to_last_job,job_teamwork_score,job_growth_score,job_respect_score,competitive_salary_score,benefit_score,user_preference_score,work_from_home_score,hybrid_score,on_site_score,PayRangeMin_norm,PayRangeMax_norm,pay_average_norm,distance_norm,workType,headquarter_in_australia
181,79205229,180000.0,220000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.39820325,0.6683198,0.46608642,0.47550765,0.16502765,0.16876937,0.060050033,0.07949358,0.035729848,0.0,0,1,0,0.12413793103448276,0.13333333333333333,0.12873563218390804,0.32633993620682783,Full Time,1
182,79223318,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3511032,0.5640232,0.19981417,0.325816,0.14269058,0.09863977,0.052335322,0.122380376,0.15185225,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Contract/Temp,1
183,79245287,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3577232,0.57868236,0.48308474,0.28079078,0.3503465,0.19389787,0.15909897,0.1604034,0.20558426,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
184,79248223,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3940805,0.65919054,0.4735203,0.27767843,0.21629786,0.08915644,0.052111432,0.03998769,0.08732225,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
185,79249003,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Surry Hills,Sydney,,New South Wales,11.464104788047777,0.3066333,0.46555072,0.3386925,0.43293875,0.3122836,0.33084196,0.1532063,0.11049251,0.19033006,0.0,1,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.3151546668784914,Full Time,1
186,79258859,900.0,1000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.36869553,0.60297906,0.21845302,0.47550765,0.2405312,0.1771915,0.07606224,0.08532445,0.08787277,0.0,0,1,0,0.0006206896551724138,0.0006060606060606061,0.00061337513061651,0.32633993620682783,Contract/Temp,1
187,79277067,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3774302,0.6223208,0.50038487,0.47550765,0.17640206,0.12823148,0.08887929,0.22370511,0.1396143,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
188,79292220,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.4916829,0.87531763,0.4331358,0.43293875,0.24700166,0.19346562,0.13336414,0.23202844,0.17386952,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
189,79297027,1000.0,1200.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.39291748,0.65661526,0.45392653,0.47550765,0.2076451,0.22791126,0.095253706,0.13370001,0.124006286,0.0,0,0,1,0.000689655172413793,0.0007272727272727272,0.0007084639498432601,0.32633993620682783,Contract/Temp,1
190,79314094,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3667552,0.5986824,0.4931565,0.47550765,0.14134604,0.088805586,0.10151922,0.13631691,0.10186442,0.0,1,0,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
