,postId,adjusted_job_title_similarity,adjusted_job_industry_similarity,adjusted_company_size,adjusted_job_sector,adjusted_company_culture,adjusted_work_model,adjusted_salary_expectation,adjusted_role_type,descriptions_similarity_to_resume_norm,adjusted_distance_score,pay_average_norm
85,79587475,0.23071203,0.3721153,-1.5,1,0.48342195,0,0.51651496,0.6666666666666667,0.38813323,0.905837298401351,0.0021769467512205835
86,79588008,0.36668342,0.3601424,-1.5,1,0.45230323,1,0.692869,0.6666666666666667,0.4407506,0.5264213239339337,0.4475606844539122
87,79591706,0.40112755,0.3721153,-1.5,1,0.20734096,1,0.7380452,0.6666666666666667,0.24742693,0.13073092424096813,8.695242615384059e-05
88,79594981,0.8775299,0.3721153,-1.5,1,0.4937712,1,0.20204292,0.6666666666666667,0.7675304,0.5264213239339337,0.6111372127028416
89,79595756,0.8775299,0.3721153,-1.5,1,0.3140917,1,0.13024539,0.6666666666666667,0.99999994,0.5264213239339337,0.5655791261424772
90,79599720,0.5147979,0.3721153,-1.5,1,0.36802554,0,0.46074829,0.6666666666666667,0.72661084,0.5264213239339337,0.4475606844539122
91,79607748,0.13798486,0.3721153,-1.5,1,0.5773239,0,0.7764188,0.6666666666666667,0.34658128,0.5264213239339337,0.4475606844539122
92,79609092,0.51400924,0.3721153,-1.5,1,0.4895456,1,0.3051122,0.6666666666666667,0.5513366,0.5264213239339337,0.4475606844539122
93,79609103,0.27972317,0.3721153,-1.5,1,0.70730764,0,0.36985713,0.6666666666666667,0.082322866,0.905837298401351,0.4475606844539122
94,79617286,0.71367884,0.3721153,-1.5,1,0.47518843,1,0.38043186,0.6666666666666667,0.75708,0.5264213239339337,0.4475606844539122
95,79624516,0.47485286,0.3721153,-1.5,1,0.44409117,1,0.61318,0.6666666666666667,0.574566,0.13073092424096813,0.4475606844539122
96,79625520,0.46541178,0.3721153,-1.5,1,0.4382468,1,0.1480321,0.6666666666666667,0.7112954,0.5264213239339337,0.4475606844539122
97,79627650,0.76124513,0.3721153,-1.5,1,0.45722365,0,0.33840352,0.6666666666666667,0.09531739,0.5264213239339337,0.4475606844539122
98,79633383,0.39762002,0.3721153,-1.5,1,0.33593836,1,0.34176072,0.6666666666666667,0.5607002,0.5264213239339337,0.4475606844539122
99,79639545,0.7615781,0.3721153,-1.5,1,0.39586192,1,0.35178587,0.6666666666666667,0.9146392,0.0,0.48379086201801247
100,79007170,0.74351937,0.3721153,-1.5,1,0.45226,1,0.11394509,0.6666666666666667,0.712624,0.5264213239339337,0.4475606844539122
101,79008657,0.36818486,0.3721153,-1.5,1,0.6166701,1,0.38821906,0.6666666666666667,0.68539125,0.5264213239339337,0.4475606844539122
102,79069661,0.21252736,0.3721153,-1.5,1,0.2635286,0,0.13830583,0.6666666666666667,0.6382355,0.5264213239339337,0.774713740951771
103,79070470,0.2957297,0.3721153,-1.5,1,0.5615379,1,0.6832856,0.6666666666666667,0.4201604,0.5264213239339337,0.4475606844539122
104,79073170,0.7387438,0.3721153,-1.5,1,0.32669237,0,0.33500668,0.6666666666666667,0.778945,0.5264213239339337,0.4475606844539122
105,79080216,0.8775299,0.3721153,-1.5,1,0.4383629,1,0.501847,0.6666666666666667,0.42120922,0.3490678893147123,0.4428967299557801
